商品ID,名称,分类,价格(元),价格(分),描述,图片路径
21413,REDMI K Pad,平板,3099.0,309900,"<font color='#ff4a00'>【至高享15%政府补贴，3期免息限量抢！】</font>8.8"" 3K LCD 旗舰护眼屏 | 天玑 9400+ 旗舰性能芯 | SoC 中置架构 高效散热 |  12050mm² 铝合金液冷VC",images/21413.png
20598,Xiaomi Pad 7 Pro,平板,2699.0,269900,<font color='#ff4a00'>【至高享15%政府补贴，直播间下单赠保护壳】</font>11.2英寸3.2K高清高刷屏 | 第三代骁龙8s 旗舰芯片 | HyperOS 2,images/20598.png
19820,Redmi Pad Pro,平板,1599.0,159900,<font color='#ff4a00'>【至高享15%政府补贴，直播间下单赠类纸膜！】</font>12.1英寸2.5K旗舰机大屏 | 10000mAh超大电池 | Xiaomi HyperOS 流畅体验 | 全套生态配件 | 小米教育中心,images/19820.png
22535,REDMI Pad 2 Pro,平板,1999.0,199900,<font color='#ff4a00'>【至高享15%政府补贴，乐学版下单赠保护膜】</font>2.5K超清护眼屏 | 12000mAh超大容量电池 | 第四代骁龙7s平台 | PC级办公体验 | 跨端生态高效互联 | 小米教育中心,images/22535.png
21406,Xiaomi Pad 7S Pro 12.5,平板,3499.0,349900,"<font color='#ff4a00'>【至高享15%政府补贴，玄戒®O1 3nm旗舰处理器】</font>玄戒®O1 3nm旗舰处理器 | 12.5"" 高清高亮原色屏 |120W 疾速快充 | 10610mAh 大电池 |薄至5.8mm 轻至576g",images/21406.png
23520,REDMI Pad 2 Pro 5G,平板,2799.0,279900,2.5K超清护眼屏 | 12000mAh超大容量电池 | 第四代骁龙7s平台 | PC级办公体验 | 跨端生态高效互联 | 小米教育中心,images/23520.png
20754,Xiaomi Pad 7系列悬浮键盘+触控笔套装,平板,1000.0,100000,全新悬浮形态 | 多角度顺畅调节 | 磁吸触点无感连接,images/20754.png
21903,Xiaomi Pad 8/8 Pro 悬浮键盘,平板,699.0,69900,悬浮形态 一开即用 | PC级键盘布局 全域机械按压触控 | 多角度调节 磁吸触点无感链接,images/21903.png
19823,REDMI 灵感触控笔,平板,299.0,29900,5ms超低延时 | 4096级压感 | 10g灵敏出墨 | 12h连续书写,images/19823.png
19812,Redmi Pad Pro 键盘式双面保护壳,平板,129.0,12900,标准64键布局 | 丰富快捷键 | 主动笔独立收纳 | 760h 超长待机,images/19812.png
19191,Redmi涂鸦触控笔,平板,29.0,2900,圆润笔身 ｜ 顺滑笔触 ｜ 即拿即用,images/19191.png
21927,小米焦点触控笔 Pro,平板,599.0,59900,一体化无按键设计 | 新奇交互 妙不可言 | 振感反馈 悬停预览,images/21927.png
22537,REDMI Pad 2 Pro 键盘,平板,299.0,29900,标准64键布局 | 丰富快捷键 | 主动笔独立收纳 | 960h超长待机,images/22537.png
21904,Xiaomi Pad 8/8 Pro 键盘式双面保护壳,平板,399.0,39900,PC级键入体验 | PC级键盘体验 | 磁吸触点无感链接 | 智能唤醒与息屏,images/21904.png
20587,Xiaomi Pad 7/7 Pro 磁吸双面保护壳,平板,79.0,7900,磁吸双面保护壳 | 配色雅致 触感细腻 | 智能唤醒 合盖息屏,images/20587.png
21410,Xiaomi Pad 7S Pro 12.5 悬浮键盘,平板,999.0,99900,镁合金材质，一步开合，0-124°无级调节，稳固可靠,images/21410.png
21593,REDMI Pad 2 双面保护壳,平板,89.0,8900,精湛工艺 完美匹配 | 稳定支撑 翻盖唤醒 | 智能唤醒 翻开即用,images/21593.png
22524,REDMI Pad 2 Pro 保护壳,平板,99.0,9900,三角磁吸支撑 稳固可靠 | 开盖唤醒 合盖息屏 | 细腻手感 双色可选,images/22524.png
21399,小米AI眼镜,智能穿戴,1699.0,169900,<font color='#ff4a00'>国补至高省15%，至高享3期免息，以旧换新至高补贴135元</font>经典D型镜框设计，潮流百搭|电致变色镜片，0.2s疾速变色，4档随心调|搭载1200万像素超透光学镜头,images/21399.png
10050227,小米手环 10（含NFC版、陶瓷版等）,智能穿戴,289.0,28900,2.0mm超窄四等边，满屏高光|睡眠健康管理|全天心率监测,images/10050227.png
22153,REDMI Watch 6,智能穿戴,569.0,56900,<font color='#ff4a00'>至高享3期免息，以旧换新至高补贴135元</font>2.07英寸AMOLED大屏 | 搭载HyperOS 3.0 | 轻薄一体设计,images/22153.png
21122,MIJIA智能音频眼镜 2 替换套装,智能穿戴,199.0,19900,潮流风范 随心切换,images/21122.png
23261,REDMI Buds 8 活力版,智能穿戴,99.0,9900,声享澎湃音质 电量超长相随,images/23261.png
20581,REDMI手环 3,智能穿戴,129.0,12900,18天超长续航 | 60Hz高刷大屏 | 全天健康监测,images/20581.png
24629,小米手环10 Pro,智能穿戴,399.0,39900,<font color='#ff4a00'>「国补限时立减15%，到手价339.15元起！」</font>轻薄铝合金机身 | 专业运动健康管理 | 21天超长续航,images/24629.png
21120,REDMI Buds 7S,智能穿戴,179.0,17900,旗舰双单元架构 | 半入耳主动降噪 | 32h超长续航,images/21120.png
5059,小米活塞耳机  ,智能穿戴,29.0,2900,铝合金音腔 | 第三代平衡阻尼系统 | 3.5mm镀镍插头,images/5059.png
20007,REDMI Buds 6 活力版,智能穿戴,99.0,9900,14.2mm超大动圈 | 内置五种调音模式 | 30小时长续航,images/20007.png
21403,小米手环10 NFC版（含陶瓷版、耀影金特别版）,智能穿戴,339.0,33900,<font color='#ff4a00'>【国补至高立省15%】</font>多彩陶瓷中框|智能NFC，多张卡片智能切换|专业游泳模式,images/21403.png
21404,小米手环10,智能穿戴,289.0,28900,<font color='#ff4a00'>【国补至高立省15%】</font>2.0mm超窄四等边，满屏高光|睡眠健康管理|全天心率监测,images/21404.png
24647,Xiaomi 耳夹式耳机 ,智能穿戴,799.0,79900,轻盈无感 佩戴舒适 | 超级小爱 智能陪伴 | 逆向声波防漏音,images/24647.png
22419,Xiaomi Buds 6,智能穿戴,649.0,64900,仿生曲线设计|哈曼金耳朵联合调音|耳机独立录音2.0,images/22419.png
20426,REDMI Buds 6,智能穿戴,189.0,18900,旗舰双单元架构 | 49dB深度降噪 | 42h超长续航,images/20426.png
20978,Xiaomi Buds 5 Pro,智能穿戴,899.0,89900,小米首发双功放三单元｜55dB 深度降噪｜哈曼联合调音,images/20978.png
19755,米兔儿童学习手表7X,智能穿戴,509.0,50900,强悍定位，全新体验,images/19755.png
23260,REDMI Buds 8 青春版,智能穿戴,139.0,13900,42dB 深度主动降噪 | 12.4mm超大镀钛单元 | 支持小米澎湃智联,images/23260.png
23408,Xiaomi Watch S5,智能穿戴,1099.0,109900,21天超长续航 | 小米澎湃OS 3 | 全新骑行体验,images/23408.png
20534,小米Type-C耳机（数字耳机）,智能穿戴,39.0,3900,小米Type-C耳机（数字耳机）,images/20534.png
18104,Xiaomi小方头磁吸充电线2,智能穿戴,19.9,1990,磁吸充电，方便收纳,images/18104.png
22418,Xiaomi Watch 5,智能穿戴,1899.0,189900,独立腕上“小手机” | 精准手势识别 | ECG心电分析,images/22418.png
20150,米兔儿童电话手表7A,智能穿戴,349.0,34900,长续航，高清视频通话2.0,images/20150.png
22137,REDMI Buds 8 Pro,智能穿戴,369.0,36900,55dB深度降噪 | 新增智能查找 | 同档罕见同轴三单元,images/22137.png
23966,REDMI Buds 8,智能穿戴,229.0,22900,至高50dB 4kHz宽频降噪 | 11mm高性能动圈单元 | 设备智能互联体验,images/23966.png
21605,小米米家喷墨打印一体机,电脑办公,499.0,49900,无线打印复印扫描 / 电脑手机平板多终端 / 全家轻松操作 / 高性价比原装耗材,images/21605.png
10050218,REDMI 显示器 G系列 27 英寸,电脑办公,649.0,64900,27英寸广色域电竞显示器，高刷疾速响应,images/10050218.png
20992,REDMI Book Pro 14 2025,电脑办公,6399.0,639900,70W 满血性能｜全新酷睿 Ultra 处理器,images/20992.png
10050058,Redmi Book 16,电脑办公,4499.0,449900,47W 满血性能 | 小米澎湃智联,images/10050058.png
19562,小米电纸书 7英寸,电脑办公,1199.0,119900,一书在手，畅阅无忧,images/19562.png
20870,REDMI Book 14 2025,电脑办公,3599.0,359900,47W 满血性能 | 小米澎湃智联 | 旗舰硬核品质,images/20870.png
15596,小米双接口U盘,电脑办公,99.0,9900,双接口兼容|高速读取|合金外壳|小巧便携,images/15596.png
20172,米家口袋照片打印机1S,电脑办公,399.0,39900,轻巧随身，打印多彩生活,images/20172.png
23472,Xiaomi Book Pro 14,电脑办公,8999.0,899900,第三代英特尔酷睿 Ultra 处理器 | 至高50W持久释放 | 1.08kg 超轻薄设计 | 3.1K高清高刷OLED屏,images/23472.png
21395,米家口袋打印相纸 ,电脑办公,39.6,3960,<font color='#ff4a00'>【适用于米家口袋照片打印机 Pro和Xiaomi MIX Flip 2 随身拍套装】</font>米家专用相纸，看清回忆的每个细节,images/21395.png
10050216,REDMI 显示器 A系列 27英寸,电脑办公,539.0,53900,27英寸大视野，专业色彩高效办公,images/10050216.png
21400,米家口袋照片打印机 Pro,电脑办公,599.0,59900,<font color='#ff4a00'>直播间限时领20元可叠加优惠券</font>鲜活细腻好出片，心动瞬间随身还原,images/21400.png
21638,REDMI显示器A22  2026,电脑办公,369.0,36900,100Hz刷新率丨效率办公不卡顿,images/21638.png
20864,REDMI Book 16 2025,电脑办公,4599.0,459900,47W 满血性能 | 小米澎湃智联 | 旗舰硬核品质,images/20864.png
20993,REDMI Book Pro 16 2025,电脑办公,7299.0,729900,80W 狂暴性能｜3.1K 165Hz 高刷高亮屏,images/20993.png
21630,小米无线键鼠套装 舒适版,电脑办公,149.0,14900,2.4GHz无线接收器丨波浪键位贴合手指丨分离式手托,images/21630.png
10050215,REDMI 显示器 A系列 24英寸,电脑办公,429.0,42900,24英寸高亮高刷屏幕，丝滑高效办公,images/10050215.png
10050217,REDMI 显示器 G系列 24/25英寸,电脑办公,549.0,54900,24/25英寸竞技黄金尺寸，高刷疾速响应,images/10050217.png
21364,REDMI Book 锐龙版 2025,电脑办公,3699.0,369900,AMD锐龙处理器 | 一体化铝合金骨架 | 防眩光高色域FHD屏,images/21364.png
20064,小米无线蓝牙双模鼠标2,电脑办公,69.0,6900,贴合掌心，舒适办公,images/20064.png
21270,小米无线鼠标Lite3,电脑办公,39.0,3900,"舒适点击,轻盈灵动",images/21270.png
15925,小米激光打印机墨粉K200-T,电脑办公,199.0,19900,原装耗材，打印实惠又安心,images/15925.png
13371,小米超大双料鼠标垫,电脑办公,49.0,4900,超大尺寸 |皮革触感|天然橡木 |防水耐脏,images/13371.png
15186,米家智能显示器挂灯1S,电脑办公,229.0,22900,非对称前向投光，屏幕无反光 | 升级Ra95高显色 | 无线遥控器，开关更自由 | 0-32mm屏幕适配 | 智能升级，联动更多可能/Type-C供电,images/15186.png
21272,小米无线键鼠套装 3,电脑办公,99.0,9900,轻薄无线，办公好伙伴,images/21272.png
10050071, REDMI 智能电视 A系列,电视,699.0,69900,金属全面屏、视野无疆,images/10050071.png
10050135,REDMI 电视 X 2026,电视,2699.0,269900,Mini LED电视，普及新风暴，画质革命，全面升级，REDMI电视首次采用高端先进Mini LED显示技术,images/10050135.png
10050074,REDMI智能电视 A Pro系列,电视,1349.0,134900,4K超高清|94%DCI-P3高色域|3+64GB大内存,images/10050074.png
10050072,REDMI 智能电视 MAX系列,电视,5299.0,529900,REDMI MAX系列,images/10050072.png
10050173,小米电视S Mini LED 2026 系列,电视,3299.0,329900,小米电视首发低反屏，超薄一体化机身，Mini LED 画质新旗舰,images/10050173.png
23713,REDMI红外遥控器2,电视,29.0,2900,红外遥控，自定义按键，极简布局,images/23713.png
21291,小米盒子5,电视,449.0,44900,人工智能语音 / 4K超清视界 / 4K HDR 影院级体验 / 杜比全景声,images/21291.png
10050131,小米电视S Pro Mini LED 2026,电视,5499.0,549900,首发搭载小米澎湃OS 3，画质外观新突破,images/10050131.png
10050091,百吋大屏电视,电视,7999.0,799900,百吋大屏,images/10050091.png
23719,小米蓝牙遥控器 2,电视,59.0,5900,小米蓝牙遥控器2,images/23719.png
21186,REDMI 投影仪 3 Lite 版,电视,719.0,71900,ToF激光感知模组、定制封闭式光机、180CVIA流明亮度、1080P物理分辨率,images/21186.png
16711,MIJIA K歌麦克风 大屏版2支装 家庭KTV电视麦克风,电视,299.0,29900,USB无线接收器 | 28mm动圈拾音 | 36种预设音效,images/16711.png
23714,小米蓝牙遥控器 2 Pro,电视,99.0,9900,简约外观，NFC投屏，智能语音，Type-C充电,images/23714.png
4983,小米影视会员卡,电视,488.0,48800,影视会员卡,images/4983.png
22285,REDMI 投影仪 3 Lite 云台套装,电视,759.0,75900,轻巧自在投，智能更好看,images/22285.png
22162,REDMI 投影仪 4 Pro,电视,1449.0,144900,<font color='#ff4a00'>高亮清晰智能对焦，立体声场震撼低音</font>高亮清晰智能对焦，立体声场震撼低音,images/22162.png
21562,Xiaomi激光投影仪 3 4K,电视,3699.0,369900,小米首款三色激光长焦投影，超清进化；4K分辨率，大屏画面更细腻；一体式云台支架，各种角度随心投,images/21562.png
21290,小米盒子5 MAX,电视,669.0,66900,人工智能语音 / 4K超清视界 / 4GB+64GB / 杜比全景声,images/21290.png
20803,小米电视音响2.1,电视,599.0,59900,小米电视音响2.1,images/20803.png
